scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Cadenatella isuzumi	Machida, 1993          	Kyphosus cinerascens	Australia: Coast of Queensland	Northeast Australian Shelf
Koseiria tahmeli	Nagaty, 1942          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Deontacylix kyphosi	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Enenterum elongatum	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Enenterum kyphosi	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Genolinea kyphosi	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Jeancadenatia pacifica	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Opisthadena kyphosi	Yamaguti, 1970          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Adenodidymocystis intestinalis	Yamaguti, 1970          	Katsuwonus pelamys	Hawaiian coast	Hawaii
Coeliodidymocystis kamegaii	Yamaguti, 1970          	Katsuwonus pelamys	Hawaiian coast	Hawaii
Didymocystoides pinnicola	Yamaguti, 1970          	Katsuwonus pelamys	Hawaiian coast	Hawaii
Diploproctodaeum waki	Shen, 1990          	Johnius sina	South China Sea	South China Sea
Xystretrum papillosum	          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Hirudinella marina	(Garcin, 1730)          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Cardicola grandis	Lebedev & Mamaev, 1968        	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Glomeritrema subcuticola	Yamaguti, 1942          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Angionematobothrium jugulare	Yamaguti, 1970          	Istiophorus platypterus	Hawaiian coast	Hawaii
Angionematobothrium jugulare	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Cypseluritrematoides triangularis	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Makairatrema musculicola	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Metadidymozoon branchiale	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Neodidymozooides microstoma	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Neodidymozoon macrostoma	Yamaguti, 1970          	Istiophorus platypterus	Australia: Coast of Queensland	Northeast Australian Shelf
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Istiblennius meleagris	Australia: Coast of Queensland	Northeast Australian Shelf
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Istiblennius edentulus	Australia: Coast of Queensland	Northeast Australian Shelf
Pseudoprosorhynchus fusiformis	Wang, 1985          	Inimicus japonicus	South China Sea	South China Sea
Indodidymozoon ditremion	Anderson & Cribb, 1995        	Inegocia japonica	Australia: Coast of Queensland	Northeast Australian Shelf
Plagioporus sillagonis	Yamaguti, 1938         	Ilisha elongata	South China Sea	South China Sea
Lecithaster stellatus	Looss, 1906          	Hyporhamphus sayori	Australia: Coast of Queensland	Northeast Australian Shelf
Opegaster brevifistula	Ozaki, 1928          	Hoplosebastes armatus	South China Sea	South China Sea
Lecithochirium holocentri	Yamaguti, 1970          	Holocentrus rubrum	South China Sea	South China Sea
Dollfustrema hippocampi	(Shen, 1982)          	Hippocampus trimaculatus	South China Sea	South China Sea
Aphanurus stossichii	(Monticelli, 1891)          	Herklotsichthys dispilonotus	Coast of Philippines	Western Coral Triangle
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Heniochus varius	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Heniochus varius	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Heniochus varius	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Heniochus chrysostomus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Heniochus chrysostomus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepocreadium clavatum	(Ozaki, 1932)          	Hemitaurichthys zoster	Hawaiian coast	Hawaii
Lepotrema clavatum	Ozaki, 1932          	Hemitaurichthys zoster	Hawaiian coast	Hawaii
Transversotrema patialense	(Soparkar, 1924)          	Hemirhamphus georgii	Coast of Philippines	Western Coral Triangle
Treptodemoides xinyingensis	Shen, 1995          	Hemirhamphus far	South China Sea	South China Sea
Callohelmis pichelinae	Cribb & Bray, 1999        	Hemigymnus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Deretrema woolcockae	Cribb, Wright & Bray, 1999        	Hemigymnus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
